epoch,train_loss,valid_loss,error_rate,time
0,1.01446533203125,0.480186402797699,0.1326259970664978,00:20
1,1.2380719184875488,0.3761666417121887,0.1034482792019844,00:20
2,0.8931689858436584,0.4428407847881317,0.1326259970664978,00:21
3,1.1434671878814697,0.4054839313030243,0.10875331610441208,00:20
4,0.9112848043441772,0.27454283833503723,0.08488063514232635,00:20
5,0.7803208827972412,0.31947770714759827,0.1034482792019844,00:20
6,0.6355665326118469,0.32650595903396606,0.1034482792019844,00:20
7,0.5214372277259827,0.2640720307826996,0.08222811669111252,00:21
8,0.5806881189346313,0.2802206575870514,0.08753315359354019,00:20
9,0.4411107897758484,0.24007363617420197,0.07161803543567657,00:21
