epoch,train_loss,valid_loss,error_rate,time
0,0.642441987991333,0.3399082124233246,0.1034482792019844,00:07
1,0.42657411098480225,0.270506352186203,0.09814323484897614,00:07
2,0.3622729778289795,0.31052228808403015,0.09283819794654846,00:07
3,0.313336044549942,0.3302869498729706,0.08753315359354019,00:06
4,0.2388497292995453,0.3103170394897461,0.08753315359354019,00:07
5,0.19286735355854034,0.19372762739658356,0.06100795790553093,00:07
6,0.1431056410074234,0.17764227092266083,0.05570291727781296,00:07
7,0.09819049388170242,0.17518939077854156,0.06100795790553093,00:07
8,0.07135704159736633,0.1618124395608902,0.05570291727781296,00:07
9,0.07531881332397461,0.1629631370306015,0.06100795790553093,00:07
