epoch,train_loss,valid_loss,error_rate,time
0,0.9345282912254333,0.4005693197250366,0.11405835300683975,00:22
1,0.9429451823234558,0.4191211462020874,0.12997347116470337,00:22
2,0.9747833609580994,0.4378831684589386,0.1326259970664978,00:23
3,0.9236032366752625,0.4671342670917511,0.1538461595773697,00:22
4,1.0803108215332031,0.39657390117645264,0.12997347116470337,00:22
5,0.7671008706092834,0.3968749940395355,0.1246684342622757,00:22
6,0.641502857208252,0.3540269434452057,0.10875331610441208,00:23
7,0.5206968784332275,0.37190890312194824,0.11671087890863419,00:23
8,0.5113040208816528,0.290120005607605,0.08753315359354019,00:23
9,0.35696446895599365,0.3091126084327698,0.0954907163977623,00:20
