epoch,train_loss,valid_loss,error_rate,time
0,0.4681864082813263,0.2886947989463806,0.0954907163977623,00:06
1,0.3532966375350952,0.24733483791351318,0.08753315359354019,00:06
2,0.27601972222328186,0.2332162857055664,0.07161803543567657,00:06
3,0.20385363698005676,0.26828062534332275,0.07427055388689041,00:06
4,0.18566374480724335,0.2146017998456955,0.07161803543567657,00:07
5,0.14849001169204712,0.2092173844575882,0.06100795790553093,00:06
6,0.09479451924562454,0.17681150138378143,0.05570291727781296,00:06
7,0.061769381165504456,0.20101872086524963,0.050397876650094986,00:06
8,0.04484919458627701,0.20191459357738495,0.050397876650094986,00:06
9,0.04475110396742821,0.19426663219928741,0.050397876650094986,00:06
