epoch,train_loss,valid_loss,error_rate,time
0,0.3761174976825714,0.199529767036438,0.06100795418024063,00:08
1,0.27263396978378296,0.18893849849700928,0.05305040255188942,00:08
2,0.20461392402648926,0.21620190143585205,0.04774535447359085,00:08
3,0.1532466560602188,0.2201261669397354,0.06366047263145447,00:08
4,0.13150455057621002,0.24469046294689178,0.058355432003736496,00:08
5,0.10486995428800583,0.22676333785057068,0.050397876650094986,00:09
6,0.08125405758619308,0.2039041966199875,0.053050391376018524,00:08
7,0.06336688995361328,0.20786727964878082,0.053050391376018524,00:09
8,0.05068042874336243,0.19820815324783325,0.05039787292480469,00:08
9,0.03876030445098877,0.19232262670993805,0.04774535447359085,00:08
