epoch,train_loss,valid_loss,error_rate,time
0,0.6260813474655151,0.20789173245429993,0.05570291727781296,00:18
1,0.4989570379257202,0.3006055951118469,0.08488063514232635,00:19
2,0.8019119501113892,0.3414704203605652,0.1034482792019844,00:19
3,0.5190563201904297,0.2621684670448303,0.07957559823989868,00:19
4,0.4228851795196533,0.2856243848800659,0.07427055388689041,00:19
5,0.3750465214252472,0.20714303851127625,0.06896551698446274,00:19
6,0.2127520591020584,0.1268651783466339,0.05305039882659912,00:19
7,0.13009855151176453,0.1366310566663742,0.04774535819888115,00:19
8,0.13745373487472534,0.11315859109163284,0.04244031757116318,00:19
9,0.12599627673625946,0.11001075804233551,0.04509283974766731,00:19
