epoch,train_loss,valid_loss,error_rate,time
0,0.43505722284317017,0.2724895775318146,0.07957559823989868,00:06
1,0.33338379859924316,0.2593659460544586,0.07692307978868484,00:07
2,0.2809858024120331,0.24498043954372406,0.07692307978868484,00:06
3,0.23715302348136902,0.23230116069316864,0.0663129985332489,00:06
4,0.19411934912204742,0.21051669120788574,0.06100795790553093,00:06
5,0.11436459422111511,0.22757884860038757,0.07427055388689041,00:06
6,0.0890612006187439,0.196039080619812,0.06896551698446274,00:06
7,0.07303571701049805,0.14191728830337524,0.037135276943445206,00:07
8,0.05818043276667595,0.12731407582759857,0.03183024004101753,00:06
9,0.04685725271701813,0.1378440111875534,0.03448275849223137,00:06
