epoch,train_loss,valid_loss,error_rate,time
0,0.5024620294570923,0.2581644356250763,0.08753315359354019,00:06
1,0.368908554315567,0.27423718571662903,0.08222811669111252,00:06
2,0.290639191865921,0.27731356024742126,0.08488063514232635,00:06
3,0.2183724045753479,0.25120529532432556,0.08488063514232635,00:06
4,0.16543003916740417,0.21223348379135132,0.0663129985332489,00:06
5,0.14345493912696838,0.18293212354183197,0.05570291727781296,00:06
6,0.0869428962469101,0.1565038412809372,0.06366048008203506,00:06
7,0.0680335983633995,0.16128253936767578,0.04774535819888115,00:06
8,0.0523364283144474,0.16203221678733826,0.04774535819888115,00:06
9,0.048343218863010406,0.15436536073684692,0.04509283974766731,00:07
