epoch,train_loss,valid_loss,error_rate,time
0,0.6083749532699585,0.38440707325935364,0.14588859677314758,00:06
1,0.4890446662902832,0.2988303601741791,0.10610079765319824,00:06
2,0.3806162476539612,0.2985233962535858,0.10875331610441208,00:06
3,0.2962879538536072,0.3087066411972046,0.09814323484897614,00:06
4,0.22546906769275665,0.22918786108493805,0.09018567949533463,00:06
5,0.17275577783584595,0.22901779413223267,0.06896550953388214,00:06
6,0.13389655947685242,0.216328427195549,0.0663129910826683,00:06
7,0.10979210585355759,0.20871219038963318,0.06366047263145447,00:07
8,0.08735043555498123,0.2063097357749939,0.06366047263145447,00:06
9,0.07284937053918839,0.20748808979988098,0.07161803543567657,00:06
