epoch,train_loss,valid_loss,error_rate,time
0,0.9290012717247009,0.5072031021118164,0.17241381108760834,00:08
1,0.7683814167976379,0.3450048565864563,0.12201592326164246,00:08
2,0.5934077501296997,0.29731109738349915,0.0954907163977623,00:08
3,0.47287726402282715,0.2599666118621826,0.0954907238483429,00:08
4,0.3799155354499817,0.21860773861408234,0.08488065749406815,00:08
5,0.3101504445075989,0.2343044877052307,0.08753316849470139,00:08
6,0.262797087430954,0.21532554924488068,0.08222813904285431,00:08
7,0.21812762320041656,0.20772701501846313,0.07692309468984604,00:08
8,0.18476073443889618,0.20748990774154663,0.06896552443504333,00:08
9,0.16237978637218475,0.20597173273563385,0.0663130059838295,00:08
