epoch,train_loss,valid_loss,error_rate,time
0,0.5910346508026123,0.34093230962753296,0.1034482792019844,00:11
1,0.6128926277160645,0.4231480360031128,0.13527850806713104,00:11
2,0.5606041550636292,0.3687588572502136,0.10610079765319824,00:11
3,0.4443790316581726,0.34750330448150635,0.0954907163977623,00:11
4,0.4802839457988739,0.29299721121788025,0.07427055388689041,00:11
5,0.279702752828598,0.24688060581684113,0.07692307978868484,00:11
6,0.23785121738910675,0.2456803321838379,0.09283819794654846,00:11
7,0.16471068561077118,0.2003772109746933,0.07161803543567657,00:11
8,0.14420127868652344,0.1969199776649475,0.07427055388689041,00:10
9,0.13983620703220367,0.18468226492404938,0.06100795790553093,00:11
