epoch,train_loss,valid_loss,error_rate,time
0,0.5346683263778687,0.3533766269683838,0.11140583455562592,00:05
1,0.41293567419052124,0.31001970171928406,0.1034482792019844,00:05
2,0.3504307270050049,0.2218252271413803,0.08753315359354019,00:05
3,0.2576127350330353,0.2278340756893158,0.06896551698446274,00:05
4,0.18992765247821808,0.22022677958011627,0.06366048008203506,00:05
5,0.12888933718204498,0.20776723325252533,0.06366048008203506,00:05
6,0.09507142007350922,0.21949419379234314,0.0663129985332489,00:05
7,0.07580232620239258,0.1986234188079834,0.06896551698446274,00:05
8,0.06383843719959259,0.19648396968841553,0.0663129985332489,00:05
9,0.05394437164068222,0.18047142028808594,0.06366048008203506,00:05
