epoch,train_loss,valid_loss,error_rate,time
0,1.005645751953125,0.411225289106369,0.1326259970664978,00:20
1,0.9794986844062805,0.41510599851608276,0.13793103396892548,00:20
2,1.0048483610153198,0.45465415716171265,0.11671087890863419,00:20
3,0.9006065726280212,0.42200204730033875,0.11140583455562592,00:20
4,0.7587230205535889,0.3707449436187744,0.1034482792019844,00:20
5,0.8135040998458862,0.34379473328590393,0.09814323484897614,00:20
6,0.6422112584114075,0.30052903294563293,0.10079575330018997,00:20
7,0.6265037655830383,0.29513710737228394,0.08753315359354019,00:20
8,0.46750500798225403,0.2627894878387451,0.07692307978868484,00:21
9,0.42973288893699646,0.25880950689315796,0.06896551698446274,00:20
