epoch,train_loss,valid_loss,error_rate,time
0,0.45286548137664795,0.15208713710308075,0.05570291727781296,00:11
1,0.3401358425617218,0.360291987657547,0.10875331610441208,00:11
2,0.34509432315826416,0.30066242814064026,0.09283819794654846,00:11
3,0.3448778986930847,0.30950072407722473,0.07957559823989868,00:11
4,0.24261370301246643,0.29922720789909363,0.07957559823989868,00:11
5,0.18964488804340363,0.2970317602157593,0.05835543945431709,00:11
6,0.14596283435821533,0.13606411218643188,0.03448275849223137,00:12
7,0.09328464418649673,0.0972246453166008,0.023872679099440575,00:11
8,0.061963293701410294,0.09785917401313782,0.029177719727158546,00:11
9,0.06174197793006897,0.09476108849048615,0.02652519941329956,00:11
