epoch,train_loss,valid_loss,error_rate,time
0,0.507278323173523,0.28598517179489136,0.08753316849470139,00:10
1,0.3617892563343048,0.2426006942987442,0.07957559823989868,00:10
2,0.2684321999549866,0.2262047678232193,0.06896552443504333,00:10
3,0.20455238223075867,0.22016029059886932,0.05305041745305061,00:11
4,0.16831904649734497,0.15526479482650757,0.045092858374118805,00:10
5,0.1364036649465561,0.16260771453380585,0.05039788782596588,00:10
6,0.11201923340559006,0.14793536067008972,0.04774537682533264,00:10
7,0.09065569937229156,0.16056916117668152,0.047745369374752045,00:10
8,0.07470212876796722,0.15659628808498383,0.04774536192417145,00:11
9,0.06145591288805008,0.1538582593202591,0.04774536192417145,00:10
