epoch,train_loss,valid_loss,error_rate,time
0,0.6048879623413086,0.40163928270339966,0.14854110777378082,00:06
1,0.49180102348327637,0.2813159227371216,0.08753315359354019,00:06
2,0.37714141607284546,0.2911737859249115,0.10610079765319824,00:06
3,0.2906377911567688,0.23973427712917328,0.07692307233810425,00:06
4,0.22324135899543762,0.239256352186203,0.06896551698446274,00:06
5,0.17690454423427582,0.20361587405204773,0.05570291727781296,00:06
6,0.14312344789505005,0.20121125876903534,0.05835543945431709,00:06
7,0.11328341066837311,0.2107110321521759,0.07161803543567657,00:06
8,0.09065849334001541,0.2045847773551941,0.07161803543567657,00:06
9,0.0775875672698021,0.20487631857395172,0.07161803543567657,00:06
