epoch,train_loss,valid_loss,error_rate,time
0,0.6016330122947693,0.3922308087348938,0.14323607087135315,00:06
1,0.48086071014404297,0.310218870639801,0.11671087890863419,00:06
2,0.3752541244029999,0.29494521021842957,0.10079575330018997,00:06
3,0.28440093994140625,0.2366572618484497,0.07692307233810425,00:06
4,0.2162441462278366,0.21600663661956787,0.07427055388689041,00:06
5,0.16956093907356262,0.18425355851650238,0.06100795790553093,00:06
6,0.14326536655426025,0.17518599331378937,0.0663129985332489,00:06
7,0.11291560530662537,0.18233157694339752,0.06100795790553093,00:06
8,0.09191209822893143,0.17689456045627594,0.05570291727781296,00:06
9,0.08304355293512344,0.17540448904037476,0.05835543945431709,00:06
