epoch,train_loss,valid_loss,error_rate,time
0,0.4337860345840454,0.25262993574142456,0.0742705687880516,00:10
1,0.31872472167015076,0.2005741149187088,0.05039788410067558,00:11
2,0.23946963250637054,0.18482805788516998,0.042440325021743774,00:10
3,0.1912451535463333,0.1532849669456482,0.04774537682533264,00:10
4,0.1510014832019806,0.1875273734331131,0.04244033992290497,00:10
5,0.12555348873138428,0.12661047279834747,0.03183024376630783,00:10
6,0.10190997272729874,0.12399069219827652,0.026525212451815605,00:10
7,0.08392691612243652,0.12207333743572235,0.02917773649096489,00:10
8,0.07058793306350708,0.11917892098426819,0.03448277711868286,00:10
9,0.06242459639906883,0.11792969703674316,0.03448277711868286,00:11
