epoch,train_loss,valid_loss,error_rate,time
0,0.5084072947502136,0.26773780584335327,0.09814323484897614,00:09
1,0.4157293140888214,0.17505401372909546,0.07427055388689041,00:09
2,0.3808729946613312,0.32590556144714355,0.09814323484897614,00:09
3,0.33578571677207947,0.3253549039363861,0.09018567949533463,00:09
4,0.22856232523918152,0.22568151354789734,0.07427055388689041,00:09
5,0.15772806107997894,0.17316386103630066,0.04774535819888115,00:09
6,0.11830198019742966,0.16888734698295593,0.04244031757116318,00:09
7,0.08399994671344757,0.16767126321792603,0.04244031757116318,00:09
8,0.08103245496749878,0.1475212574005127,0.037135276943445206,00:09
9,0.08684515953063965,0.1440403163433075,0.03978779911994934,00:09
