epoch,train_loss,valid_loss,error_rate,time
0,0.36551594734191895,0.2556738257408142,0.07161803543567657,00:08
1,0.24890360236167908,0.19030362367630005,0.05835543945431709,00:08
2,0.2351229041814804,0.21052801609039307,0.05305039882659912,00:08
3,0.21226654946804047,0.3295542001724243,0.07692307978868484,00:08
4,0.1752297431230545,0.1680431365966797,0.04509283974766731,00:08
5,0.1481587141752243,0.16955949366092682,0.04774535819888115,00:08
6,0.09922178089618683,0.1382666528224945,0.037135276943445206,00:08
7,0.06838260591030121,0.12432975322008133,0.03448275849223137,00:08
8,0.04451105743646622,0.12837155163288116,0.03448275849223137,00:09
9,0.03262162581086159,0.11294610053300858,0.03978779911994934,00:08
