epoch,train_loss,valid_loss,error_rate,time
0,0.5805515050888062,0.2837790250778198,0.0954907163977623,00:07
1,0.4276478886604309,0.2317853420972824,0.08753315359354019,00:06
2,0.3215114176273346,0.2299298197031021,0.07692307978868484,00:07
3,0.24500127136707306,0.22779548168182373,0.06896552443504333,00:07
4,0.18044988811016083,0.2095036804676056,0.06366047263145447,00:07
5,0.13244332373142242,0.23767712712287903,0.06100795418024063,00:06
6,0.09836490452289581,0.2407623678445816,0.07161804288625717,00:06
7,0.08246409147977829,0.2313924878835678,0.06100795790553093,00:06
8,0.06585311889648438,0.21650880575180054,0.05835543945431709,00:06
9,0.05542439967393875,0.21798010170459747,0.06100796163082123,00:06
